Date (yyyy-mm-dd),Max_temperature (Â°C),Min_temperature (Â°C),Rain (mm),Wind (km/h),Description,City
2022-11-11,20,13,2.6,3,ligeras precipitaciones,medellã­n
2021-11-11,24,14,2.1,4,ligeras precipitaciones,medellã­n
2022-11-12,19,9,3.8,2,ligeras precipitaciones,medellã­n
2021-11-12,22,9,1.1,4,lluvia moderada a intervalos,medellã­n
2022-11-13,17,10,4.6,2,ligeras precipitaciones,medellã­n
2021-11-13,20,9,1.7,4,ligeras precipitaciones,medellã­n
2022-11-14,19,10,5.8,2,ligeras precipitaciones,medellã­n
2021-11-14,21,9,1.3,4,ligeras precipitaciones,medellã­n
2021-11-15,19,10,4.3,2,ligeras precipitaciones,medellã­n
2024-11-16,18,10,7.7,3,ligeras precipitaciones,medellã­n
2023-11-16,18,10,7.1,4,ligeras precipitaciones,medellã­n
2022-11-16,21,13,3.6,2,ligeras precipitaciones,medellã­n
2021-11-16,20,10,1.3,5,niebla moderada,medellã­n
2022-11-17,18,11,5.1,4,ligeras precipitaciones,medellã­n
2022-11-18,17,15,7.9,4,ligeras precipitaciones,medellã­n
2021-11-18,23,9,1.1,4,lluvia moderada a intervalos,medellã­n
2023-11-19,20,10,6.9,4,ligeras precipitaciones,medellã­n
2022-11-19,22,14,7.0,3,ligeras precipitaciones,medellã­n
2021-11-19,23,10,0.8,4,niebla moderada,medellã­n
2021-11-20,23,14,1.9,4,ligeras precipitaciones,medellã­n
2023-11-21,22,9,7.3,3,ligeras precipitaciones,medellã­n
2022-11-21,23,10,2.7,3,llovizna,medellã­n
2021-11-21,23,10,1.4,5,ligeras precipitaciones,medellã­n
2023-11-22,23,9,5.3,5,ligeras precipitaciones,medellã­n
2022-11-22,20,15,5.5,2,ligeras precipitaciones,medellã­n
2021-11-22,20,9,1.8,2,ligeras precipitaciones,medellã­n
2019-11-22,26,10,3.8,1,lluvia moderada a intervalos,medellã­n
2024-11-23,18,9,8.0,3,ligeras precipitaciones,medellã­n
2023-11-23,23,8,2.8,5,niebla moderada,medellã­n
2022-11-23,18,10,3.4,3,ligeras precipitaciones,medellã­n
2023-11-24,23,9,6.7,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-11-24,17,10,5.8,3,ligeras precipitaciones,medellã­n
2021-11-24,20,15,6.1,2,ligeras precipitaciones,medellã­n
2022-11-25,19,10,3.7,2,ligeras precipitaciones,medellã­n
2019-11-25,22,12,6.0,4,lluvia moderada a intervalos,medellã­n
2023-11-26,23,9,3.0,5,ligeras precipitaciones,medellã­n
2023-11-27,24,9,0.8,6,lluvia moderada a intervalos,medellã­n
2020-11-27,20,13,4.2,2,ligeras precipitaciones,medellã­n
2024-11-28,21,9,7.8,4,ligeras precipitaciones,medellã­n
2023-11-28,25,9,4.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-11-28,17,11,2.8,2,ligeras precipitaciones,medellã­n
2024-11-29,20,8,7.7,5,ligeras precipitaciones,medellã­n
2023-11-29,22,9,5.3,5,ligeras precipitaciones,medellã­n
2022-11-29,17,10,5.4,3,ligeras precipitaciones,medellã­n
2021-11-29,22,10,4.9,3,ligeras precipitaciones,medellã­n
2023-11-30,23,8,2.1,4,niebla moderada,medellã­n
2022-11-30,17,9,3.4,3,ligeras precipitaciones,medellã­n
2023-12-01,27,8,0.5,6,niebla moderada,medellã­n
2022-12-01,23,9,2.5,4,niebla moderada,medellã­n
2021-12-01,19,9,2.3,3,ligeras precipitaciones,medellã­n
2019-12-01,24,8,4.7,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-12-02,26,10,0.8,6,lluvia moderada a intervalos,medellã­n
2022-12-02,25,13,0.1,5,lluvia moderada a intervalos,medellã­n
2021-12-02,21,14,2.6,5,ligeras precipitaciones,medellã­n
2019-12-02,26,15,3.1,3,niebla moderada,medellã­n
2023-12-03,24,9,1.8,5,lluvia moderada a intervalos,medellã­n
2022-12-03,20,9,0.4,5,lluvia moderada a intervalos,medellã­n
2021-12-03,20,9,1.7,4,ligeras precipitaciones,medellã­n
2019-12-03,23,15,5.3,3,lluvias fuertes o moderadas,medellã­n
2024-12-04,22,9,5.3,5,ligeras precipitaciones,medellã­n
2023-12-04,25,10,0.9,6,lluvia moderada a intervalos,medellã­n
2022-12-04,19,8,1.0,4,ligeras precipitaciones,medellã­n
2021-12-04,21,8,2.4,5,ligeras precipitaciones,medellã­n
2024-12-05,21,9,5.7,4,ligeras precipitaciones,medellã­n
2023-12-05,26,9,0.4,6,niebla moderada,medellã­n
2022-12-05,20,8,2.2,4,ligeras precipitaciones,medellã­n
2021-12-05,24,14,1.9,4,lluvia moderada a intervalos,medellã­n
2019-12-05,23,15,4.3,3,lluvias fuertes o moderadas,medellã­n
2024-12-06,21,9,4.2,4,ligeras precipitaciones,medellã­n
2023-12-06,24,9,5.7,5,ligeras precipitaciones,medellã­n
2022-12-06,22,9,1.4,5,ligeras precipitaciones,medellã­n
2021-12-06,20,10,2.0,5,ligeras precipitaciones,medellã­n
2024-12-07,24,9,0.4,5,lluvia moderada a intervalos,medellã­n
2022-12-07,19,8,3.0,3,ligeras precipitaciones,medellã­n
2021-12-07,20,9,0.4,4,lluvia moderada a intervalos,medellã­n
2024-12-08,26,10,0.3,5,niebla moderada,medellã­n
2023-12-08,25,11,0.3,5,niebla moderada,medellã­n
2022-12-08,21,10,2.2,4,ligeras precipitaciones,medellã­n
2021-12-08,26,13,0.9,5,niebla moderada,medellã­n
2024-12-09,24,10,1.4,6,lluvia moderada a intervalos,medellã­n
2023-12-09,25,10,1.6,6,lluvia moderada a intervalos,medellã­n
2022-12-09,22,9,2.0,4,ligeras precipitaciones,medellã­n
2024-12-10,25,8,0.2,6,lluvia moderada a intervalos,medellã­n
2022-12-10,20,12,2.4,4,ligeras precipitaciones,medellã­n
2021-12-10,28,12,0.4,5,lluvia moderada a intervalos,medellã­n
2024-12-11,25,9,3.2,5,ligeras precipitaciones,medellã­n
2023-12-11,20,9,3.0,5,niebla moderada,medellã­n
2022-12-11,22,11,3.3,5,ligeras precipitaciones,medellã­n
2021-12-11,19,10,2.8,4,niebla moderada,medellã­n
2024-12-12,25,9,1.7,5,lluvia moderada a intervalos,medellã­n
2023-12-12,22,9,1.2,5,lluvia moderada a intervalos,medellã­n
2022-12-12,22,11,3.0,4,ligeras precipitaciones,medellã­n
2021-12-12,19,9,1.9,3,ligeras precipitaciones,medellã­n
2024-12-13,24,9,3.9,5,lluvia moderada a intervalos,medellã­n
2023-12-13,26,10,3.6,5,ligeras precipitaciones,medellã­n
2022-12-13,19,8,3.5,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-12-13,20,8,0.2,5,niebla moderada,medellã­n
2022-12-14,18,9,2.1,5,ligeras precipitaciones,medellã­n
2021-12-14,21,7,0.3,5,lluvia moderada a intervalos,medellã­n
2022-12-15,19,11,2.4,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-12-15,21,10,2.3,4,ligeras precipitaciones,medellã­n
2020-12-15,22,10,4.2,3,lluvia moderada a intervalos,medellã­n
2022-12-16,19,9,3.2,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-12-16,21,11,0.9,5,ligeras precipitaciones,medellã­n
2022-12-17,18,8,2.5,3,ligeras precipitaciones,medellã­n
2021-12-17,23,11,1.8,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-12-18,25,9,6.4,5,ligeras precipitaciones,medellã­n
2022-12-18,20,8,1.2,4,niebla moderada,medellã­n
2021-12-18,19,10,2.0,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-12-19,23,10,5.0,4,ligeras precipitaciones,medellã­n
2022-12-19,20,8,0.4,5,niebla moderada,medellã­n
2021-12-19,19,11,1.3,4,ligeras precipitaciones,medellã­n
2023-12-20,24,11,3.5,5,niebla moderada,medellã­n
2022-12-20,20,8,0.4,5,niebla moderada,medellã­n
2021-12-20,19,10,4.7,3,ligeras precipitaciones,medellã­n
2023-12-21,24,9,2.2,5,niebla moderada,medellã­n
2022-12-21,21,10,0.6,5,lluvia moderada a intervalos,medellã­n
2021-12-21,17,10,7.6,4,ligeras precipitaciones,medellã­n
2020-12-21,22,9,6.9,4,niebla moderada,medellã­n
2019-12-21,19,9,5.7,3,ligeras precipitaciones,medellã­n
2023-12-22,24,10,2.4,5,niebla moderada,medellã­n
2022-12-22,21,10,1.0,5,lluvia moderada a intervalos,medellã­n
2021-12-22,18,9,4.3,3,ligeras precipitaciones,medellã­n
2022-12-23,20,10,1.4,5,ligeras precipitaciones,medellã­n
2021-12-23,19,12,2.8,2,ligeras precipitaciones,medellã­n
2023-12-24,23,9,7.2,5,ligeras precipitaciones,medellã­n
2022-12-24,20,9,1.3,4,lluvia moderada a intervalos,medellã­n
2021-12-24,19,11,2.1,4,ligeras precipitaciones,medellã­n
2019-12-24,22,8,6.5,2,lluvias fuertes o moderadas,medellã­n
2023-12-25,22,9,7.4,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-12-25,18,8,1.5,4,niebla moderada,medellã­n
2021-12-25,23,9,2.6,4,niebla moderada,medellã­n
2022-12-26,18,9,1.2,4,ligeras precipitaciones,medellã­n
2021-12-26,22,9,3.4,1,niebla moderada,medellã­n
2022-12-27,18,9,1.6,4,ligeras precipitaciones,medellã­n
2021-12-27,20,12,7.2,3,ligeras precipitaciones,medellã­n
2022-12-28,20,7,1.3,5,ligeras precipitaciones,medellã­n
2021-12-28,17,10,3.8,2,ligeras precipitaciones,medellã­n
2023-12-29,20,9,7.6,3,ligeras precipitaciones,medellã­n
2022-12-29,19,7,1.2,5,niebla moderada,medellã­n
2021-12-29,19,9,4.1,3,ligeras precipitaciones,medellã­n
2022-12-30,20,7,0.6,5,lluvia moderada a intervalos,medellã­n
2021-12-30,19,10,4.0,4,ligeras precipitaciones,medellã­n
2023-12-31,23,8,3.6,5,niebla moderada,medellã­n
2022-12-31,18,9,2.5,4,ligeras precipitaciones,medellã­n
2021-12-31,19,9,2.4,3,ligeras precipitaciones,medellã­n
